date,n,model_brier,model_logloss,mkt_brier,mkt_logloss
2026-06-11,2,0.2834,0.5638,,
2026-06-12,4,0.5393,0.8846,0.6374,1.0324
2026-06-13,8,0.5892,0.9627,0.755,1.173
2026-06-14,12,0.5822,0.9632,0.7241,1.1508
2026-06-15,16,0.6648,1.0646,0.7241,1.1508
2026-06-16,20,0.5983,0.9779,0.7241,1.1508
2026-06-17,24,0.5917,0.9689,0.7241,1.1508
2026-06-18,28,0.5629,0.9313,0.7241,1.1508
2026-06-19,28,0.5629,0.9313,0.7241,1.1508
2026-06-20,28,0.5629,0.9313,0.7241,1.1508
2026-06-21,28,0.5629,0.9313,0.7241,1.1508
