date,team,elo
2026-06-11,Algeria,1884
2026-06-11,Argentina,2189
2026-06-11,Australia,1900
2026-06-11,Austria,1888
2026-06-11,Belgium,1955
2026-06-11,Bosnia and Herzegovina,1650
2026-06-11,Brazil,2067
2026-06-11,Canada,1898
2026-06-11,Cape Verde,1653
2026-06-11,Colombia,2062
2026-06-11,Croatia,1968
2026-06-11,Curaçao,1606
2026-06-11,Czech Republic,1777
2026-06-11,DR Congo,1763
2026-06-11,Ecuador,2026
2026-06-11,Egypt,1810
2026-06-11,England,2089
2026-06-11,France,2123
2026-06-11,Germany,2003
2026-06-11,Ghana,1625
2026-06-11,Haiti,1707
2026-06-11,Iran,1896
2026-06-11,Iraq,1737
2026-06-11,Ivory Coast,1814
2026-06-11,Japan,1992
2026-06-11,Jordan,1775
2026-06-11,Mexico,1987
2026-06-11,Morocco,1984
2026-06-11,Netherlands,2009
2026-06-11,New Zealand,1720
2026-06-11,Norway,1970
2026-06-11,Panama,1854
2026-06-11,Paraguay,1917
2026-06-11,Portugal,2044
2026-06-11,Qatar,1565
2026-06-11,Saudi Arabia,1692
2026-06-11,Scotland,1843
2026-06-11,Senegal,1913
2026-06-11,South Africa,1655
2026-06-11,South Korea,1903
2026-06-11,Spain,2217
2026-06-11,Sweden,1769
2026-06-11,Switzerland,1954
2026-06-11,Tunisia,1737
2026-06-11,Turkey,1968
2026-06-11,United States,1826
2026-06-11,Uruguay,1974
2026-06-11,Uzbekistan,1820
2026-06-12,Algeria,1884
2026-06-12,Argentina,2189
2026-06-12,Australia,1900
2026-06-12,Austria,1888
2026-06-12,Belgium,1955
2026-06-12,Bosnia and Herzegovina,1673
2026-06-12,Brazil,2067
2026-06-12,Canada,1875
2026-06-12,Cape Verde,1653
2026-06-12,Colombia,2062
2026-06-12,Croatia,1968
2026-06-12,Curaçao,1606
2026-06-12,Czech Republic,1777
2026-06-12,DR Congo,1763
2026-06-12,Ecuador,2026
2026-06-12,Egypt,1810
2026-06-12,England,2089
2026-06-12,France,2123
2026-06-12,Germany,2003
2026-06-12,Ghana,1625
2026-06-12,Haiti,1707
2026-06-12,Iran,1896
2026-06-12,Iraq,1737
2026-06-12,Ivory Coast,1814
2026-06-12,Japan,1992
2026-06-12,Jordan,1775
2026-06-12,Mexico,1987
2026-06-12,Morocco,1984
2026-06-12,Netherlands,2009
2026-06-12,New Zealand,1720
2026-06-12,Norway,1970
2026-06-12,Panama,1854
2026-06-12,Paraguay,1866
2026-06-12,Portugal,2044
2026-06-12,Qatar,1565
2026-06-12,Saudi Arabia,1692
2026-06-12,Scotland,1843
2026-06-12,Senegal,1913
2026-06-12,South Africa,1655
2026-06-12,South Korea,1903
2026-06-12,Spain,2217
2026-06-12,Sweden,1769
2026-06-12,Switzerland,1954
2026-06-12,Tunisia,1737
2026-06-12,Turkey,1968
2026-06-12,United States,1877
2026-06-12,Uruguay,1974
2026-06-12,Uzbekistan,1820
2026-06-13,Algeria,1884
2026-06-13,Argentina,2189
2026-06-13,Australia,1954
2026-06-13,Austria,1888
2026-06-13,Belgium,1955
2026-06-13,Bosnia and Herzegovina,1673
2026-06-13,Brazil,2060
2026-06-13,Canada,1875
2026-06-13,Cape Verde,1653
2026-06-13,Colombia,2062
2026-06-13,Croatia,1968
2026-06-13,Curaçao,1606
2026-06-13,Czech Republic,1777
2026-06-13,DR Congo,1763
2026-06-13,Ecuador,2026
2026-06-13,Egypt,1810
2026-06-13,England,2089
2026-06-13,France,2123
2026-06-13,Germany,2003
2026-06-13,Ghana,1625
2026-06-13,Haiti,1688
2026-06-13,Iran,1896
2026-06-13,Iraq,1737
2026-06-13,Ivory Coast,1814
2026-06-13,Japan,1992
2026-06-13,Jordan,1775
2026-06-13,Mexico,1987
2026-06-13,Morocco,1991
2026-06-13,Netherlands,2009
2026-06-13,New Zealand,1720
2026-06-13,Norway,1970
2026-06-13,Panama,1854
2026-06-13,Paraguay,1866
2026-06-13,Portugal,2044
2026-06-13,Qatar,1589
2026-06-13,Saudi Arabia,1692
2026-06-13,Scotland,1861
2026-06-13,Senegal,1913
2026-06-13,South Africa,1655
2026-06-13,South Korea,1903
2026-06-13,Spain,2217
2026-06-13,Sweden,1769
2026-06-13,Switzerland,1930
2026-06-13,Tunisia,1737
2026-06-13,Turkey,1914
2026-06-13,United States,1877
2026-06-13,Uruguay,1974
2026-06-13,Uzbekistan,1820
2026-06-14,Algeria,1884
2026-06-14,Argentina,2189
2026-06-14,Australia,1954
2026-06-14,Austria,1888
2026-06-14,Belgium,1955
2026-06-14,Bosnia and Herzegovina,1673
2026-06-14,Brazil,2060
2026-06-14,Canada,1875
2026-06-14,Cape Verde,1653
2026-06-14,Colombia,2062
2026-06-14,Croatia,1968
2026-06-14,Curaçao,1594
2026-06-14,Czech Republic,1777
2026-06-14,DR Congo,1763
2026-06-14,Ecuador,1980
2026-06-14,Egypt,1810
2026-06-14,England,2089
2026-06-14,France,2123
2026-06-14,Germany,2015
2026-06-14,Ghana,1625
2026-06-14,Haiti,1688
2026-06-14,Iran,1896
2026-06-14,Iraq,1737
2026-06-14,Ivory Coast,1860
2026-06-14,Japan,1994
2026-06-14,Jordan,1775
2026-06-14,Mexico,1987
2026-06-14,Morocco,1991
2026-06-14,Netherlands,2007
2026-06-14,New Zealand,1720
2026-06-14,Norway,1970
2026-06-14,Panama,1854
2026-06-14,Paraguay,1866
2026-06-14,Portugal,2044
2026-06-14,Qatar,1589
2026-06-14,Saudi Arabia,1692
2026-06-14,Scotland,1861
2026-06-14,Senegal,1913
2026-06-14,South Africa,1655
2026-06-14,South Korea,1903
2026-06-14,Spain,2217
2026-06-14,Sweden,1820
2026-06-14,Switzerland,1930
2026-06-14,Tunisia,1686
2026-06-14,Turkey,1914
2026-06-14,United States,1877
2026-06-14,Uruguay,1974
2026-06-14,Uzbekistan,1820
2026-06-15,Algeria,1884
2026-06-15,Argentina,2189
2026-06-15,Australia,1954
2026-06-15,Austria,1888
2026-06-15,Belgium,1943
2026-06-15,Bosnia and Herzegovina,1673
2026-06-15,Brazil,2060
2026-06-15,Canada,1875
2026-06-15,Cape Verde,1681
2026-06-15,Colombia,2062
2026-06-15,Croatia,1968
2026-06-15,Curaçao,1594
2026-06-15,Czech Republic,1777
2026-06-15,DR Congo,1763
2026-06-15,Ecuador,1980
2026-06-15,Egypt,1822
2026-06-15,England,2089
2026-06-15,France,2123
2026-06-15,Germany,2015
2026-06-15,Ghana,1625
