date,team,R32,R16,QF,SF,F,champion
2026-06-11,Argentina,0.9654,0.654,0.482,0.339,0.2264,0.1498
2026-06-11,Spain,0.969,0.6346,0.4242,0.296,0.1896,0.117
2026-06-11,Brazil,0.9446,0.6138,0.4202,0.2602,0.1558,0.091
2026-06-11,England,0.9508,0.6072,0.3662,0.2184,0.125,0.0676
2026-06-11,Colombia,0.8576,0.5604,0.3198,0.1808,0.1002,0.0526
2026-06-11,Portugal,0.8572,0.564,0.3158,0.1756,0.0956,0.0504
2026-06-11,Japan,0.8956,0.4866,0.3086,0.1794,0.0944,0.0484
2026-06-11,France,0.8666,0.5474,0.3178,0.1812,0.0946,0.0472
2026-06-11,Morocco,0.8908,0.521,0.3044,0.1758,0.0922,0.0454
2026-06-11,Belgium,0.823,0.5022,0.2666,0.1218,0.058,0.0286
2026-06-11,Germany,0.9036,0.5256,0.269,0.135,0.0616,0.027
2026-06-11,Mexico,0.9892,0.6136,0.3126,0.1454,0.0626,0.0254
2026-06-11,Uruguay,0.8528,0.3926,0.2162,0.1134,0.0536,0.025
2026-06-11,Netherlands,0.8356,0.4098,0.2346,0.1208,0.0524,0.0238
2026-06-11,Australia,0.7982,0.461,0.2298,0.0982,0.0472,0.0214
2026-06-11,Ecuador,0.8498,0.4756,0.2334,0.1098,0.0498,0.0208
2026-06-11,Canada,0.961,0.5532,0.2736,0.117,0.048,0.017
2026-06-11,Senegal,0.7378,0.3802,0.1814,0.0862,0.037,0.0146
2026-06-11,Iran,0.7854,0.4472,0.2128,0.092,0.038,0.0144
2026-06-11,Algeria,0.722,0.3064,0.1618,0.0746,0.0338,0.0138
2026-06-11,Switzerland,0.9016,0.4804,0.201,0.085,0.0346,0.0136
2026-06-11,Croatia,0.8124,0.374,0.1566,0.065,0.0272,0.0124
2026-06-11,South Korea,0.9552,0.5166,0.2078,0.0882,0.0332,0.0122
2026-06-11,Norway,0.7224,0.3806,0.1742,0.0766,0.0314,0.012
2026-06-11,United States,0.7984,0.4454,0.2054,0.082,0.032,0.0098
2026-06-11,Ivory Coast,0.7286,0.3334,0.1364,0.0538,0.0202,0.0094
2026-06-11,Egypt,0.5872,0.2662,0.1002,0.0344,0.0134,0.0046
2026-06-11,Austria,0.598,0.231,0.098,0.0364,0.0128,0.0042
2026-06-11,Paraguay,0.5674,0.2518,0.0942,0.0342,0.0138,0.0036
2026-06-11,Uzbekistan,0.5432,0.2264,0.0848,0.0348,0.0124,0.0034
2026-06-11,Tunisia,0.5352,0.1824,0.0684,0.0272,0.008,0.0026
2026-06-11,Turkey,0.5474,0.2382,0.0814,0.0228,0.0078,0.0024
2026-06-11,DR Congo,0.4112,0.1576,0.0486,0.0172,0.0056,0.0018
2026-06-11,New Zealand,0.5228,0.2092,0.0694,0.0218,0.007,0.0016
2026-06-11,Jordan,0.3654,0.1016,0.0366,0.011,0.0048,0.0016
2026-06-11,Iraq,0.3786,0.1248,0.0356,0.0078,0.002,0.001
2026-06-11,Scotland,0.4972,0.154,0.0576,0.0154,0.0036,0.001
2026-06-11,Saudi Arabia,0.4722,0.1226,0.0408,0.0106,0.0026,0.0006
2026-06-11,Panama,0.4956,0.145,0.0372,0.0104,0.0034,0.0004
2026-06-11,Czech Republic,0.3986,0.1414,0.0438,0.0108,0.0024,0.0002
2026-06-11,Sweden,0.4276,0.1264,0.0416,0.0116,0.0018,0.0002
2026-06-11,South Africa,0.2914,0.0894,0.0252,0.0036,0.0004,0.0002
2026-06-11,Bosnia and Herzegovina,0.3214,0.0634,0.013,0.0014,0.0006,0.0
2026-06-11,Qatar,0.4158,0.0934,0.0178,0.0024,0.0002,0.0
2026-06-11,Haiti,0.3196,0.0746,0.0236,0.0054,0.0012,0.0
2026-06-11,Curaçao,0.2318,0.0512,0.0118,0.0018,0.0006,0.0
2026-06-11,Cape Verde,0.3046,0.0614,0.0146,0.0022,0.0006,0.0
2026-06-11,Ghana,0.3932,0.1012,0.0236,0.0056,0.0006,0.0
2026-06-12,Argentina,0.9548,0.6538,0.4858,0.3492,0.2368,0.1546
2026-06-12,Spain,0.9706,0.6208,0.4296,0.2996,0.187,0.105
2026-06-12,Brazil,0.9438,0.6118,0.4194,0.2622,0.1548,0.0926
2026-06-12,England,0.9584,0.614,0.3672,0.2112,0.1202,0.0684
2026-06-12,Morocco,0.8992,0.5258,0.3292,0.1876,0.0986,0.0522
2026-06-12,Japan,0.8946,0.4818,0.3132,0.1796,0.0958,0.0512
